MEDDATA	pop_est	gdp_md_est	economy	income_grp	continent	subregion	Longitude	Latitude	Population	Area (sq. mi.)	Pop. Density (per sq. mi.)	Coastline (coast/area ratio)	Net migration	Infant mortality (per 1000 births)	GDP ($ per capita)	Literacy (%)	Phones (per 1000)	Birthrate	Deathrate	DevelopmentLevel	pop1960	pop2010	imr19551960	imr20052010	AvgYrsSchool70	AvgYrsSchool10	GDP1970	GDP2010	GDPPerCap1970	GDPPerCap2010	WHR score	HDI1980	HDI2013	country_longitude	country_latitude
(ex-)USSR	140041247	2266000.0	3. Emerging region: BRIC	3. Upper middle income	Europe	Eastern Europe	96.6865611231	61.9805220919												MDC	120057109	143617913	59.4321298567662	10.6818142361004	5.61	11.73	506343294956.573	905221108328.551	3887.60754313319	6351.23007469798	5.716		0.778302805225662	96.6865611231	61.9805220919
Aden	23822783	55280.0	7. Least developed region	4. Lower middle income	Asia	Western Asia	47.5867618877	15.9092800505												Least	5099785	22763008	297.252888139481	61.3132295995722			4521011300.74123	20489675906.8654	636.920129167422	872.073253390975	4.077		0.499870712198931	47.5867618877	15.9092800505
Albania	3639453	21810.0	6. Developing region	4. Lower middle income	Europe	Southern Europe	20.0498339611	41.1424498947												MDC	1618829	3150143	124.882325968794	16.1082814156122	5.24	10.39	4561414145.46058	10703149229.0835	2115.08335549491	3583.30138183789	4.959	0.602567321331679	0.716099963779507	20.0498339611	41.1424498947
Albanian	3639453	21810.0	6. Developing region	4. Lower middle income	Europe	Southern Europe	20.0498339611	41.1424498947												MDC	1618829	3150143	124.882325968794	16.1082814156122	5.24	10.39	4561414145.46058	10703149229.0835	2115.08335549491	3583.30138183789	4.959	0.602567321331679	0.716099963779507	20.0498339611	41.1424498947
Algeria	34178188	232900.0	6. Developing region	3. Upper middle income	Africa	Northern Africa	2.6173230092	28.1589384945												LDC	11277757	37062820	153.566357270955	29.7196701868193	0.77	6.83	29041728869.8239	115788587930.369	2084.55712687492	3220.83476661262	5.605	0.509146288567437	0.71664618456661	2.6173230092	28.1589384945
America	313973000	15094000.0	1. Developed region: G7	1. High income: OECD	North America	Northern America	-112.4616737	45.6795472026	298444215.0	9631420.0	31.0	0.21	3.41	6.5	37800.0	97.0	898.0	14.14	8.26	MDC	186361893	312247116	27.3343959909028	6.86940160597982	10.62	13.27	4339765053000.0	13595422266000.0	21160.3989146176	43887.9134148546	7.119	0.825386232847847	0.913741642744492	-112.4616737	45.6795472026
Argentina	40913584	573900.0	5. Emerging region: G20	3. Upper middle income	South America	South America	-65.179806925	-35.3813487953												LDC	20623998	40374224	58.7043665975869	13.4337607754309	5.92	9.28	92571964815.0156	253619297052.446	3863.23160101513	6134.4862254968	6.574	0.665415359578755	0.808304171317885	-65.179806925	-35.3813487953
Armenia	2967004	18770.0	6. Developing region	4. Lower middle income	Asia	Western Asia	44.9299327564	40.2895256919												LDC	1867396	2963496	77.9966240955764	21.0091015304626	8.38	10.79	2346413017.6555	5838003973.08757	931.210506482005	1967.77674178714	4.35		0.730092606075837	44.9299327564	40.2895256919
Aruba	103065	2258.0	6. Developing region	2. High income: nonOECD	North America	Caribbean	-69.9826771125	12.5208803838												LDC	54208	101597	51.7424303253535	16.0443998244837										-69.9826771125	12.5208803838
Asia Minor	76805524	902700.0	4. Emerging region: MIKT	3. Upper middle income	Asia	Western Asia	35.1689534649	39.0616029013												LDC	27553280	72137546	201.76978330361	16.3888432176832	2.03	6.47	109086241383.792	565098939372.446	3050.64813569561	7263.0976977344	5.332	0.495850707325476	0.758635955743596	35.1689534649	39.0616029013
